+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
|  reino   |   filo   | classe |      ordem       |      familia      |   subfamilia   |                 especie                 |                nome_cientifico                 |             autor              |     nome_popular     | nome_ingles |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Ramphastos     | R. dicolorus Linnaeus, 1766             | Ramphastos dicolorus Linnaeus, 1766            | ()                             |                      |             |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Picumnus       | P. temminckii Lafresnaye, 1845          | Picumnus temminckii Lafresnaye, 1845           | ()                             |                      |             |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Veniliornis    | V. spilogaster                          | Veniliornis spilogaster                        | (Wagler, 1827)                 |                      |             |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Colaptes       | C. melanochloros                        | Colaptes melanochloros                         | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Colaptes       | C. campestris                           | Colaptes campestris                            | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Celeus         | C. flavescens                           | Celeus flavescens                              | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Piciformes       | Ramphastidae      | Dryocopus      | D. lineatus                             | Dryocopus lineatus                             | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Falconiformes    | Falconidae        | Caracara       | C. plancus                              | Caracara plancus                               | (Miller, 1777)                 |                      |             |
| Animalia | Chordata | Aves   | Falconiformes    | Falconidae        | Milvago        | M. chimachima                           | Milvago chimachima                             | (Vieillot, 1816)               |                      |             |
| Animalia | Chordata | Aves   | Falconiformes    | Falconidae        | Micrastur      | M. semitorquatus                        | Micrastur semitorquatus                        | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Falconiformes    | Falconidae        | Falco          | F. femoralis Temminck, 1822             | Falco femoralis Temminck, 1822                 | ()                             |                      |             |
| Animalia | Chordata | Aves   | Falconiformes    | Falconidae        | Falco          | F. peregrinus Tunstall, 1771            | Falco peregrinus Tunstall, 1771                | ()                             |                      |             |
| Animalia | Chordata | Aves   | Psittaciformes   | Psittacidae       | Pyrrhura       | P. frontalis                            | Pyrrhura frontalis                             | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Psittaciformes   | Psittacidae       | Brotogeris     | B. tirica                               | Brotogeris tirica                              | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Psittaciformes   | Psittacidae       | Pionus         | P. maximiliani                          | Pionus maximiliani                             | (Kuhl, 1820)                   |                      |             |
| Animalia | Chordata | Aves   | Psittaciformes   | Psittacidae       | Amazona        | A. aestiva                              | Amazona aestiva                                | (Linnaeus, 1758)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thamnophilidae    | Thamnophilus   | T. caerulescens Vieillot, 1816          | Thamnophilus caerulescens Vieillot, 1816       | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Conopophagidae    | Conopophaga    | C. lineata                              | Conopophaga lineata                            | (Wied, 1831)                   |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Dendrocolaptidae  | Xiphorhynchus  | X. fuscus                               | Xiphorhynchus fuscus                           | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Furnariidae       | Furnarius      | F. rufus                                | Furnarius rufus                                | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Furnariidae       | Certhiaxis     | C. cinnamomeus                          | Certhiaxis cinnamomeus                         | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Furnariidae       | Synallaxis     | S. ruficapilla Vieillot, 1819           | Synallaxis ruficapilla Vieillot, 1819          | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Furnariidae       | Synallaxis     | S. spixi Sclater, 1856                  | Synallaxis spixi Sclater, 1856                 | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Furnariidae       | Cranioleuca    | C. pallida                              | Cranioleuca pallida                            | (Wied, 1831)                   |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tityridae         | Tityra         | T. inquisitor                           | Tityra inquisitor                              | (Lichtenstein, 1823)           |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tityridae         | Tityra         | T. cayana                               | Tityra cayana                                  | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tityridae         | Pachyramphus   | P. validus                              | Pachyramphus validus                           | (Lichtenstein, 1823)           |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Cotingidae        | Pyroderus      | P. scutatus                             | Pyroderus scutatus                             | (Shaw, 1792)                   |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Cotingidae        | Procnias       | P. nudicollis                           | Procnias nudicollis                            | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Rynchocyclidae    | Leptopogon     | L. amaurocephalus Tschudi, 1846         | Leptopogon amaurocephalus Tschudi, 1846        | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Rynchocyclidae    | Todirostrum    | T. cinereum                             | Todirostrum cinereum                           | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Rynchocyclidae    | Hemitriccus    | H. orbitatus                            | Hemitriccus orbitatus                          | (Wied, 1831)                   |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Camptostoma    | C. obsoletum                            | Camptostoma obsoletum                          | (Temminck, 1824)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Elaenia        | E. flavogaster                          | Elaenia flavogaster                            | (Thunberg, 1822)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Phyllomyias    | P. fasciatus                            | Phyllomyias fasciatus                          | (Thunberg, 1822)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Legatus        | L. leucophaius                          | Legatus leucophaius                            | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Myiarchus      | M. swainsoni Cabanis & Heine, 1859      | Myiarchus swainsoni Cabanis & Heine, 1859      | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Myiarchus      | M. ferox                                | Myiarchus ferox                                | (Gmelin, 1789)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Pitangus       | P. sulphuratus                          | Pitangus sulphuratus                           | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Machetornis    | M. rixosa                               | Machetornis rixosa                             | (Vieillot, 1819)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Myiodynastes   | M. maculatus                            | Myiodynastes maculatus                         | (Statius Muller, 1776)         |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Tyrannidae        | Megarynchus    | M. pitangua                             | Megarynchus pitangua                           | (Linnaeus, 1766)               |                      |             |
